cpf_cliente,data_hora_solicitacao,limite_atual,novo_limite_solicitado,status_pedido45573022890,2026-08-09T22:20:15.824593,22000.00,25000.00,aprovado
45573022890,2026-08-09T22:20:32.761148,25000.00,30000.00,aprovado
45573022890,2026-08-09T22:21:05.651449,30000.00,15.00,aprovado
45573022890,2026-08-09T22:21:19.932471,15.00,15000.00,rejeitado
45573022890,2026-08-09T22:45:26.737445,15.00,20000.00,aprovado
45573022890,2026-08-09T23:14:56.337944,20000.00,22000.00,aprovado
45573022890,2026-08-09T23:15:13.890429,22000.00,30000.00,aprovado
45573022890,2026-08-10T10:57:43.395243,30000.00,5000.00,aprovado
52998224725,2026-08-10T10:57:43.408351,12000.00,2000.00,rejeitado
52998224725,2026-08-10T10:57:43.410621,12000.00,8000.00,aprovado
52998224725,2026-08-10T10:57:43.425507,8000.00,12000.00,rejeitado
45573022890,2026-08-10T10:57:43.427654,2500.00,5000.00,aprovado
45573022890,2026-08-10T11:06:46.515699,30000.00,5000.00,aprovado
52998224725,2026-08-10T11:06:46.543418,12000.00,2000.00,rejeitado
52998224725,2026-08-10T11:06:46.551927,12000.00,8000.00,aprovado
52998224725,2026-08-10T11:06:46.573445,8000.00,12000.00,rejeitado
45573022890,2026-08-10T11:06:46.578275,2500.00,5000.00,aprovado
45573022890,2026-08-10T11:34:41.962050,30000.00,23122003.00,aprovado
45573022890,2026-08-10T11:39:05.866644,30000.00,5000.00,aprovado
52998224725,2026-08-10T11:39:05.885910,12000.00,2000.00,rejeitado
52998224725,2026-08-10T11:39:05.888459,12000.00,8000.00,rejeitado
45573022890,2026-08-10T11:40:47.439557,30000.00,5000.00,aprovado
52998224725,2026-08-10T11:40:47.448155,12000.00,2000.00,rejeitado
52998224725,2026-08-10T11:40:47.452553,12000.00,8000.00,aprovado
52998224725,2026-08-10T11:40:47.469671,8000.00,12000.00,rejeitado
45573022890,2026-08-10T11:40:47.471720,2500.00,5000.00,aprovado
45573022890,2026-08-10T11:45:40.869581,5000.00,5000.00,aprovado
52998224725,2026-08-10T11:45:40.875746,8000.00,2000.00,aprovado
45573022890,2026-08-10T11:47:35.560728,30000.00,5000.00,aprovado
52998224725,2026-08-10T11:47:35.581380,12000.00,2000.00,rejeitado
52998224725,2026-08-10T11:47:35.587086,12000.00,8000.00,aprovado
52998224725,2026-08-10T11:47:35.607050,8000.00,12000.00,rejeitado
45573022890,2026-08-10T11:47:35.608443,2500.00,5000.00,aprovado
45573022890,2026-08-10T11:56:56.878791,30000.00,5000.00,aprovado
52998224725,2026-08-10T11:56:56.895692,12000.00,2000.00,rejeitado
52998224725,2026-08-10T11:56:56.899793,12000.00,8000.00,aprovado
52998224725,2026-08-10T11:56:56.918277,8000.00,12000.00,rejeitado
45573022890,2026-08-10T11:56:56.919322,2500.00,5000.00,aprovado
45573022890,2026-08-10T12:10:46.138260,5000.00,5000.00,aprovado
52998224725,2026-08-10T12:10:46.141517,8000.00,2000.00,rejeitado
52998224725,2026-08-10T12:10:46.142842,8000.00,8000.00,rejeitado
